VARIABLES= "X", "Y", "Z","P"
5.62012 4.87826 3.60853 0.01061
5.64167 4.53025 3.83174 0.0101395
5.97215 3.01306 3.71802 0.00485224
5.81649 3.38974 3.90425 0.00683897
4.19644 6.7746 4.50296 0.00257278
5.71477 3.55059 3.83787 0.00867796
5.52579 3.63652 1.62782 0.01213
5.92206 3.6667 1.62957 0.00855312
5.90498 3.28768 1.95957 0.00735267
5.55261 3.29567 1.56658 0.0110989
2.19604 2.66548 3.7504 0.183712
4.79844 4.41107 1.27589 0.020071
4.78204 4.1311 1.13301 0.0196043
4.99535 3.43301 1.558 0.0197121
5.23312 3.81427 1.53538 0.0138039
4.28688 3.81456 1.75005 0.0476086
4.69863 4.14586 1.4748 0.0256523
4.61088 3.51227 1.43541 0.0270062
3.8038 3.58351 1.04745 0.0555567
4.92602 6.57879 3.9711 0.00446321
3.66809 3.99086 0.934826 0.0517756
3.53624 3.48105 1.58328 0.0880851
3.85413 3.57592 1.70591 0.0667726
3.69643 3.67734 1.5412 0.0776054
3.33986 3.6285 1.68799 0.108412
2.89236 6.90785 4.23021 5.94441e-006
3.67368 4.08565 1.37807 0.0696939
6.04319 4.02278 1.00558 0.0049662
5.85106 4.49323 0.679834 0.00356772
5.9984 4.32478 0.649472 0.00295539
6.11104 4.52454 0.935992 0.00312153
6.07659 4.19095 0.787193 0.00310545
5.3972 5.35348 2.59305 0.0128429
5.50275 4.94882 2.71465 0.0130243
4.55639 6.2294 4.16165 0.00807965
5.74521 4.46545 1.872 0.0100596
4.72379 3.63211 3.18717 0.0245102
4.52355 3.36007 3.38875 0.0326276
5.20553 3.95823 3.50795 0.0166215
4.98723 3.62794 3.70983 0.0198035
4.80214 3.74731 3.86566 0.0235282
5.03992 3.44538 3.80204 0.0160071
5.56211 3.6185 3.13827 0.0117987
4.85031 3.63331 3.49188 0.0233533
5.22921 5.28563 2.93389 0.0159775
5.62081 5.40767 2.90894 0.0101684
5.48601 5.53131 2.63492 0.0107464
4.82589 5.67364 2.65826 0.016304
5.28301 4.97044 2.99732 0.0173284
5.6176 4.91558 2.89741 0.0122174
5.50203 5.66474 3.14907 0.00918548
5.62695 5.36017 3.28332 0.00966726
4.88598 6.34704 4.43945 0.00549417
4.89597 5.16895 1.39376 0.0159926
4.42784 5.60594 1.91135 0.0203468
4.48914 5.4728 1.31275 0.0182399
4.27059 5.59378 1.53655 0.0194931
4.34317 5.60314 1.32721 0.0185151
4.15594 6.48667 4.28501 0.00751043
4.43231 3.07239 1.44344 0.0286612
4.63686 4.26861 2.04918 0.0344727
5.14363 3.23448 1.63094 0.0140284
4.02662 3.31266 1.68791 0.0560638
4.2234 6.58303 4.40821 0.00555716
3.9455 3.4147 2.37799 0.0701553
3.18894 6.52448 2.95934 0.0337549
3.50138 3.26934 2.1579 0.0930336
3.73221 3.33308 2.139 0.0779036
5.74533 3.60727 2.97322 0.0108201
5.07609 3.30708 2.8432 0.0171325
3.35497 5.36466 2.27179 0.0580943
3.70637 5.60345 1.80213 0.034096
3.37076 5.01296 1.37932 0.0574206
3.32495 4.79044 2.12251 0.0815142
3.85848 5.22836 1.2652 0.0357493
3.27114 4.96409 1.96843 0.0758782
3.87097 5.67427 2.34396 0.0358075
3.98543 5.60991 2.17201 0.0335831
3.83327 5.23967 2.4361 0.0435623
4.04059 5.06343 1.17349 0.0301226
3.62743 4.89583 1.6478 0.0544695
3.71733 5.61604 2.65985 0.0351507
3.72993 5.51133 2.42589 0.0418744
4.22364 5.36155 2.1152 0.0327771
3.35436 5.61022 2.03334 0.0454317
3.80016 4.54968 1.7095 0.0618633
