VARIABLES= "X", "Y", "Z","T"
1.41829 1.4733 0.46034 12.1573
1.27913 1.39887 0.414324 15.7068
1.26047 1.38691 0.539116 16.6069
1.25546 1.3546 0.403981 16.0859
1.29805 1.35644 0.552307 15.8846
1.55506 1.53776 0.503735 8.4132
1.46347 1.30705 0.735396 11.3697
1.36298 1.49482 0.684483 14.0115
1.46051 1.49408 0.743181 10.7479
1.41919 1.29282 0.424167 11.0769
1.3273 1.31002 0.658978 16.8673
1.25373 1.48581 0.665588 17.5863
1.30124 1.50905 0.708975 17.5409
1.27533 1.36608 0.685407 18.3637
1.25574 1.41416 0.72926 21.031
1.28988 1.44615 0.667796 17.1004
1.27805 1.48498 0.689758 17.6916
1.46102 1.40108 0.804901 10.6195
1.35928 1.45527 0.260979 13.515
1.35062 1.94756 0.98184 3.69615
1.37431 1.43193 0.294547 13.3427
1.35682 1.36297 0.304331 13.6368
1.38502 1.58034 0.376923 13.2424
1.40282 1.28316 0.384461 11.7491
1.44648 1.47261 0.328684 10.6589
1.26816 1.3164 0.322179 16.3468
1.26663 1.27289 0.306826 17.0399
1.30357 1.3123 0.367161 15.7772
1.72051 1.90805 0.0523161 0.668158
1.26589 1.4709 0.382565 15.7476
1.54033 1.5313 0.371319 8.00097
1.33104 1.34394 0.26659 14.258
1.34509 1.40188 0.301188 14.2731
1.28853 1.3269 0.273162 15.6022
1.27582 1.42883 0.273852 16.6573
1.26028 1.43857 0.309414 17.0121
1.35919 1.31612 0.238093 12.2067
1.31079 1.5295 0.368442 15.3556
1.35747 1.58749 0.614792 13.9307
1.35943 1.49972 0.0140374 3.478
1.33336 1.25831 0.495389 15.3863
1.74561 1.31746 0.395047 3.53881
1.74285 1.27009 0.287171 2.96503
1.77596 1.94542 0.957011 0.36856
1.80659 1.38486 0.332086 2.6858
1.82924 1.29717 0.280999 1.89905
1.72373 1.29981 0.307385 3.42228
1.37155 1.12179 0.291991 8.75619
1.38101 1.18376 0.237353 9.4462
1.38521 1.18067 0.193094 8.33398
1.36556 1.13071 0.252427 9.15308
1.34992 1.2384 0.274873 12.5477
1.64119 1.2724 0.506714 5.69407
1.67614 1.23146 0.476694 4.08602
1.65941 1.3108 0.352609 5.00472
1.69878 1.28584 0.347375 4.01175
1.61218 1.5371 0.648288 6.73157
1.79973 1.89782 0.932388 0.546551
1.5385 1.53241 0.614128 8.84048
1.47482 1.51259 0.638665 9.94791
1.4477 1.52593 0.428937 11.2615
1.34913 1.57841 0.526761 14.2422
1.70466 1.98555 0.66977 0.780366
1.96271 1.68583 0.961958 0.303914
1.94158 1.9655 0.531414 0.262451
1.33851 1.36642 0.390899 14.0645
1.28178 1.54084 0.493643 15.2666
1.27104 1.43865 0.561824 15.8837
1.28272 1.60621 0.649124 17.1273
1.26917 1.57601 0.61649 16.9569
1.26799 1.5864 0.675231 17.8038
1.68543 1.01478 0.805368 0.626597
1.42582 1.40564 0.493804 11.7087
1.32707 1.57996 0.701289 16.0923
1.43056 1.70307 0.722364 11.4543
1.4267 1.7387 0.649038 12.6641
1.4358 1.73911 0.598298 12.6307
1.52367 1.70021 0.698456 7.71585
1.4968 1.26728 0.40533 8.30902
1.32785 1.42321 0.352037 14.3219
1.46121 1.25969 0.260105 7.69097
1.44829 1.35533 0.230266 8.53127
1.39954 1.31392 0.259111 11.0303
1.46654 1.37871 0.295017 8.95069
1.35408 1.63133 0.516061 14.8691
1.28675 1.64384 0.392174 16.9574
1.89155 1.9533 0.480469 0.515292
1.97056 1.96912 0.489336 0.21849
1.26536 1.59799 0.528995 16.5167
1.94613 1.8817 0.495577 0.715739
1.35297 1.52211 0.335412 14.2935
1.65034 1.54745 0.495915 5.92777
1.32793 1.74392 0.4636 16.9191
1.39494 1.73888 0.535127 13.5429
1.37003 1.74067 0.431005 15.2533
1.64546 1.64749 0.30292 5.48966
1.74592 1.53627 0.398866 3.56108
1.75866 1.49856 0.370518 3.51442
1.57407 1.68655 0.41918 7.52297
1.73514 1.65664 0.378441 3.54889
1.88799 1.95027 0.51409 0.591411
1.67406 1.51361 0.246425 4.17265
1.71553 1.60487 0.265785 4.0122
1.89297 1.98049 0.150434 0.218763
1.47182 1.18301 0.0147764 1.51484
1.64604 1.48897 0.284411 5.14714
1.87788 1.91899 0.512216 0.954879
1.1522 1.33001 0.272019 21.1466
1.11569 1.37463 0.316788 17.9565
1.19765 1.44237 0.296471 18.7079
1.13555 1.40825 0.310521 17.4494
1.81859 1.58576 0.195988 1.94973
1.18816 1.31109 0.312951 19.728
1.1997 1.78984 0.0174912 17.585
1.18792 1.34332 0.373687 17.4545
1.5672 1.34638 0.296271 6.94028
1.62385 1.25328 0.332483 5.05638
1.58262 1.40742 0.350103 6.56831
1.64007 1.32852 0.310078 5.08676
1.43164 1.34778 0.545843 11.4046
1.60065 1.3163 0.282856 5.4637
1.50454 1.33345 0.331013 7.53031
1.56636 1.36882 0.264786 6.72959
1.54531 1.43846 0.29664 7.34627
1.89781 1.95404 0.644348 0.516619
1.36825 1.41197 0.419514 13.3488
1.39815 1.44283 0.240489 11.4997
1.95331 1.90595 0.655644 0.43927
1.52581 1.26831 0.306689 6.43433
