VARIABLES= "X", "Y", "Z","T"
1.37622 1.68641 0 4.88971
1.05391 1.49578 0 1
1.10684 1.75564 0 1
1.513 1.40185 0 2.46282
1.53959 1.3156 0 1.87306
1.33762 1.43527 0 5.07112
1.5641 1.56451 0 1.91958
1.49021 1.49182 0 3.10076
1.2882 1.12342 0 5.8282
1.70106 1.93137 0 0.481082
1.64543 1.54178 0 1.25325
1.94631 1.50537 0 0.278441
1.35528 1.77332 0 6.29909
1.67141 1.1423 0 0.630269
1.19178 1.49581 0 17.9367
1.33249 1.85692 0 7.65004
2 2 0.111111 0.0986079
2 2 0.222222 0.143341
2 2 0.333333 0.180102
2 2 0.444444 0.229926
2 2 0.555556 0.213028
2 2 0.666667 0.188118
2 2 0.777778 0.171405
2 2 0.888889 0.124647
2 2 1 0.091563
1.88889 2 1 0.114286
1.77778 2 1 0.187129
1.66667 2 1 0.309479
1.55556 2 1 0.623986
1.44444 2 1 1.81402
1.33333 2 1 3.41465
1.22222 2 1 12.5309
1.11111 2 1 300
1.71032 2 0.289683 0.81776
1.61641 2 0.307272 1.20637
1.6457 2 0.222424 0.982304
1.10086 2 0.0904404 300
1.90024 2 0.909779 0.221006
1.91446 2 0.0855425 0.162098
1.08554 2 0.914458 1
1.20213 2 0.0732899 23.273
1.29221 2 0.0578801 5.41987
1.29358 2 0.129996 8.24183
1.79868 2 0.929455 0.278884
1.71475 2 0.945494 0.35163
1.70836 2 0.878624 0.701343
1.62403 2 0.743498 1.4911
1.61106 2 0.83332 1.74678
1.51639 2 0.769748 2.53119
1.61111 2 0.928028 0.867523
1.4638 2 0.684317 3.14153
1.42473 2 0.750716 3.93624
1.93531 2 0.703439 0.301688
1.83397 2 0.166028 0.376012
1.92804 2 0.165997 0.192577
1.89178 2 0.245079 0.36237
1.91951 2 0.406672 0.270601
1.93255 2 0.308672 0.293729
1.35987 2 0.278283 6.12698
1.38032 2 0.187202 5.07294
1.45334 2 0.255367 3.3871
1.40606 2 0.0884217 3.37991
1.06032 2 0.286364 300
1.52133 2 0.325498 2.29404
1.59193 2 0.400587 1.78092
1.49906 2 0.414278 2.82903
1.94603 2 0.502759 0.254502
1.79906 2 0.265483 0.631579
1.66736 2 0.138768 0.818259
1.59706 2 0.0786221 0.835596
1.69222 2 0.0668004 0.447222
1.16205 2 0.838631 42.2172
1.07192 2 0.834051 1
1.10801 2 0.755159 300
1.08158 2 0.593316 300
1.06763 2 0.691374 1
1.13461 2 0.491805 43.7736
1.17675 2 0.577315 26.6586
1.19953 2 0.737403 22.8686
1.32967 2 0.859483 6.50409
1.40736 2 0.918674 3.04747
1.30883 2 0.933968 7.18806
1.19341 2 0.248017 20.875
1.0946 2 0.199904 1
1.19731 2 0.158337 26.017
1.25384 2 0.392752 12.1973
1.32138 2 0.453731 8.12706
1.23087 2 0.490507 16.5001
1.51205 2 0.871217 2.35864
1.50481 2 0.944165 1.34547
1.89859 2 0.793683 0.335243
1.85483 2 0.67843 0.574839
1.92314 2 0.600638 0.331686
1.42248 2 0.828149 3.78206
1.51291 2 0.111123 1.57793
1.57676 2 0.160737 1.26136
1.37727 2 0.693483 4.81705
