VARIABLES= "X", "Y", "Z","P"
-0.0743568 0.242779 0.138133 0.268445
0.206102 0.433536 0.197395 0.497871
0.124709 0.44521 -0.0175317 0.391002
-0.0426984 0.510289 0.134597 0.262196
-0.183999 0.258894 -0.15285 0.171619
0.0587454 0.0529107 0.00234301 0.322889
-0.0200329 0.392031 -0.131367 0.253752
-0.224872 0.485335 0.0373428 0.136349
-0.275142 0.301361 0.0366184 0.135648
0.0740232 -0.318735 -0.509723 0.117742
0.255772 -0.396658 -0.401855 0.182332
0.262332 -0.216436 -0.393575 0.251708
0.0733114 -0.240137 -0.374786 0.195329
0.147468 -0.138726 -0.533717 0.216765
0.0594069 0.0210213 -0.433535 0.213525
-0.0209583 -0.11845 -0.594424 0.126979
-0.0851452 -0.16807 -0.309948 0.158061
-0.0360299 -0.323726 -0.226831 0.172362
-0.0998575 -0.366637 -0.407301 0.104238
0.446121 -0.138084 0.321437 0.66304
0.356289 -0.175877 0.112998 0.50781
0.564486 -0.178118 0.101964 0.629347
0.566153 -0.406916 0.290045 0.781671
0.753949 -0.323074 0.228851 0.775758
0.460067 -0.447085 0.112681 0.611996
0.654572 -0.530726 0.155651 0.82081
0.209321 -0.245483 0.270132 0.501574
0.315067 -0.494386 0.284304 0.665352
0.351699 -0.567187 -0.0196133 0.440038
0.390373 -0.38759 -0.0946829 0.417971
0.196605 -0.45735 0.118182 0.449637
0.527834 -0.586928 0.0273584 0.625635
0.425392 -0.622149 0.192764 0.743573
0.475213 0.133557 -0.369129 0.575943
0.498817 0.31852 -0.256027 0.654128
0.521167 0.269831 -0.481248 0.746889
0.316733 0.209434 -0.332652 0.479514
0.147411 0.198014 -0.429664 0.32595
0.161537 0.349659 -0.241059 0.411509
0.163302 0.195807 -0.198139 0.361233
0.260152 -0.00564526 -0.373155 0.350126
0.213379 -0.030059 -0.167536 0.34702
0.0104721 -0.446458 0.0021103 0.27277
0.198645 -0.437584 -0.196448 0.273401
0.0725134 -0.229007 -0.00724442 0.309993
0.179459 -0.551537 -0.0402382 0.319845
-0.0233983 -0.388057 0.12629 0.322423
0.190606 -0.404857 0.361917 0.571564
-0.0365665 -0.61223 0.128751 0.321621
0.119802 -0.741105 0.164622 0.493755
0.0381196 -0.541301 0.252064 0.461418
0.453472 0.0800275 0.203439 0.610138
0.254205 0.229554 0.399533 0.566673
0.0232309 -0.0793131 0.341162 0.360529
-0.0410001 0.0309075 -0.180584 0.220888
-0.315814 0.010095 -0.131318 0.117507
-0.259074 0.0269576 0.0906437 0.169196
-0.416598 0.278418 0.376694 0.09743
-0.165735 0.132489 0.401171 0.214348
0.310587 -0.628927 -0.364725 0.141283
-0.120739 -0.20886 0.188981 0.257003
-0.0627873 -0.0722321 0.234892 0.257129
-0.113083 -0.217493 -0.0262648 0.212548
0.451452 0.711761 0.0632247 0.785253
0.261762 -0.571946 -0.466857 0.078505
0.419462 -0.428117 -0.368697 0.187431
0.400521 -0.317359 -0.546745 0.153332
-0.313244 0.416086 -0.617161 0.047894
0.634057 0.167375 -0.545303 0.785918
0.259776 -0.343501 -0.737089 0.0979043
